Date,BTC_price,volume,sentiment,F1,F2,F3,F4
2018-02-21,12688744.1,1.04942E+13,0.017847188,0.794405313,-0.294160801,-2.132336199,-5.185627146
2018-02-22,11894540.21,8.97087E+12,-0.008052838,0.819296754,-0.364835269,-2.107094023,-4.706348721
2018-02-23,11087471.21,8.63549E+12,-0.00331005,0.644076586,-0.646068947,-2.053834536,-4.305687436
2018-02-24,11478693.03,7.71881E+12,0.01252931,0.614178302,-0.673903415,-2.042576616,-4.441025691
2018-02-25,10930537.92,6.36762E+12,-0.006480063,0.584280017,-0.701737883,-2.031318696,-4.576363947
2018-02-26,10788846.2,8.13138E+12,-0.001033783,0.554381733,-0.729572352,-2.020060776,-3.865513692
2018-02-27,11597187.87,7.77264E+12,0.025640239,0.643191956,-0.574243104,-2.037697873,-3.676722425
2018-02-28,11924442.59,7.73918E+12,0.011479363,0.760899401,-0.393669838,-2.059024189,-3.399194847
2018-03-01,11587257.1,8.16439E+12,-0.000995797,0.870758915,-0.121640868,-2.117907209,-3.641226638
2018-03-02,12248238.86,8.50282E+12,0.027581951,0.846403915,-0.254305127,-2.092395916,-3.754323631
2018-03-03,12387152.06,7.46513E+12,0.023300161,0.838325385,-0.238071352,-2.07232767,-3.888213557
2018-03-04,12828438.54,6.7885E+12,0.0047078,0.830246859,-0.221837575,-2.052259423,-4.022103484
2018-03-05,12867490.45,7.21739E+12,0.012243403,0.82216833,-0.2056038,-2.032191177,-3.970972321
2018-03-06,12831450.25,7.62312E+12,0.012102464,0.734478164,-0.406829291,-2.025753333,-3.806258805
2018-03-07,12054653.01,9.81643E+12,-0.00494882,0.745664636,-0.370868422,-1.994968682,-3.217640084
2018-03-08,11103504.94,8.01801E+12,-0.016874734,0.66171906,-0.642389917,-1.986613268,-3.404988195
2018-03-09,10504616.13,9.71186E+12,-0.017816522,0.496658725,-0.841628906,-1.940347361,-3.183875667
2018-03-10,10433094.71,6.00989E+12,0.008564276,0.481482726,-0.804192999,-1.936722877,-3.179047905
2018-03-11,9877654.41,7.02529E+12,-0.001826913,0.466306727,-0.766757092,-1.933098394,-3.174220143
2018-03-12,10714647.59,7.20496E+12,0.00960024,0.451130728,-0.729321185,-1.92947391,-3.309300041
2018-03-13,10234990.21,6.68473E+12,-0.007792518,0.486136294,-0.694271366,-1.959073325,-3.074918689
2018-03-14,10281417.73,7.18358E+12,0.003272476,0.531118293,-0.620045165,-1.918428855,-3.190237241
2018-03-15,9250569.57,7.62564E+12,-0.012681218,0.528375613,-0.63612672,-1.913320201,-2.768069685
2018-03-16,9286441.96,5.90172E+12,0.004495904,0.517856136,-0.694255383,-1.901152626,-2.950406788
2018-03-17,9285326.19,4.93856E+12,-0.000338655,0.564424988,-0.592882761,-1.922548912,-3.078825251
2018-03-18,8803994.62,7.4078E+12,-0.015853106,0.610993841,-0.491510137,-1.943945197,-3.207243715
2018-03-19,9310107.37,7.50813E+12,0.006938439,0.657562693,-0.390137514,-1.965341483,-2.578918517
2018-03-20,9617557.2,7.09829E+12,0.019959745,0.626538189,-0.435829975,-1.899937477,-2.732279462
2018-03-21,9972160.23,6.74273E+12,0.007622164,0.641603575,-0.438451248,-1.916300146,-2.678514651
2018-03-22,9974347.09,6.17064E+12,0.002751239,0.789737055,-0.077437716,-2.018232954,-2.489077892
2018-03-23,9747633.59,6.64342E+12,-0.002303975,1.072226632,0.377112204,-2.124248845,-2.228977374
2018-03-24,9932516.67,6.32038E+12,0.018094998,0.998485853,0.256513108,-2.08803089,-2.346372448
2018-03-25,9609902.63,5.09893E+12,-0.013912907,0.924745072,0.135914014,-2.051812935,-2.463767522
2018-03-26,9482325.82,6.60651E+12,-0.006916425,0.851004294,0.015314918,-2.01559498,-2.509264029
2018-03-27,9149302.67,6.00088E+12,0.00268119,0.96595404,0.02614137,-2.160893605,-2.230170989
2018-03-28,8744089.07,5.50664E+12,0.003444456,1.05381194,0.195495451,-2.23300918,-1.853291559
2018-03-29,8902795.71,7.09766E+12,-0.002291856,0.92990727,-0.092829136,-2.139765022,-1.913797408
2018-03-30,8001679.07,7.01764E+12,-0.00875852,0.952621218,-0.146281376,-2.161905546,-2.167391675
2018-03-31,7690412.86,5.0804E+12,0.008600652,0.992773465,-0.057317224,-2.184046069,-2.278591121
2018-04-01,7813794.64,5.05678E+12,-0.019411144,1.032925714,0.031646928,-2.206186592,-2.389790568
2018-04-02,7637279.83,4.83512E+12,0.010957285,1.073077961,0.12061108,-2.228327115,-1.760439152
2018-04-03,7924478.56,6.13639E+12,0.01463906,1.000585688,-0.038108925,-2.212269403,-1.904627688
2018-04-04,8319628.46,5.50743E+12,0.008897744,0.979401549,-0.093097999,-2.194148073,-1.618214482
2018-04-05,7641508.64,6.29218E+12,-0.008674328,0.887793927,-0.33314253,-2.169181565,-1.505763035
2018-04-06,7605034.23,4.20289E+12,-0.008818197,1.047382493,-0.11794757,-2.286724258,-1.244330795
2018-04-07,7398114.72,4.43698E+12,0.005839409,1.03059903,-0.135486084,-2.280554912,-1.336862896
2018-04-08,7721096.5,4.07534E+12,0.012888548,1.013815568,-0.153024597,-2.274385566,-1.429394997
2018-04-09,7859830.99,5.46064E+12,0.009711516,0.997032105,-0.170563111,-2.268216219,-1.36689099
2018-04-10,7582138.63,4.7674E+12,-0.007184839,0.86914127,-0.385951011,-2.159309924,-1.528371167
2018-04-11,7635729.3,5.17927E+12,0.017626785,0.912382701,-0.356359514,-2.18723395,-1.463383707
