날짜,시가*,고가,저가,종가**,거래량,시가총액
14-Apr-17,"\1,305,817.44","\1,328,657.32","\1,294,057.33","\1,302,704.54","\284,327,978,544","\21,200,050,068,912"
13-Apr-17,"\1,340,060.45","\1,345,494.24","\1,290,319.40","\1,304,645.96","\392,715,955,782","\21,229,394,264,175"
12-Apr-17,"\1,344,289.25","\1,346,888.95","\1,335,307.26","\1,339,335.17","\322,124,649,405","\21,791,719,947,619"
11-Apr-17,"\1,324,930.56","\1,347,926.53","\1,324,930.56","\1,344,512.35","\241,209,091,376","\21,873,568,782,833"
10-Apr-17,"\1,324,752.13","\1,328,143.98","\1,315,535.87","\1,324,562.40","\240,875,485,485","\21,546,208,850,335"
09-Apr-17,"\1,312,779.82","\1,335,809.30","\1,307,524.60","\1,325,388.06","\270,398,723,117","\21,557,220,892,002"
08-Apr-17,"\1,308,406.10","\1,322,163.48","\1,297,170.23","\1,312,088.05","\233,543,760,970","\21,338,324,862,229"
07-Apr-17,"\1,315,424.19","\1,323,948.68","\1,298,074.07","\1,313,148.11","\353,723,216,667","\21,353,298,007,121"
06-Apr-17,"\1,256,143.53","\1,325,945.95","\1,256,143.53","\1,319,597.29","\570,405,482,282","\21,455,512,133,329"
05-Apr-17,"\1,265,437.84","\1,266,497.76","\1,242,553.41","\1,254,994.26","\462,802,970,447","\20,402,786,257,939"
04-Apr-17,"\1,278,135.29","\1,290,319.40","\1,250,241.07","\1,264,444.79","\486,821,023,570","\20,553,866,113,232"
03-Apr-17,"\1,230,636.94","\1,285,075.34","\1,230,636.94","\1,276,227.37","\647,641,235,409","\20,743,431,028,678"
02-Apr-17,"\1,205,710.71","\1,235,814.13","\1,199,953.31","\1,229,766.75","\573,713,727,308","\19,985,553,487,631"
01-Apr-17,"\1,195,780.34","\1,218,106.88","\1,183,930.88","\1,205,587.99","\323,164,510,053","\19,590,216,538,924"
31-Mar-17,"\1,145,492.71","\1,199,362.05","\1,145,492.71","\1,195,869.69","\499,068,806,764","\19,430,354,892,497"
30-Mar-17,"\1,162,865.17","\1,170,764.90","\1,138,128.60","\1,145,258.44","\393,831,724,400","\18,606,096,734,916"
