날짜,종가,오픈,고가,저가,거래량,변동 %
2018년 01월 15일,"18,954","15,909","19,409","15,318",9.63M,15.22%
2018년 01월 14일,"16,450","16,450","16,450","16,450",-,10.00%
2018년 01월 12일,"14,954","17,727","18,046","12,909",16.79M,-8.62%
2018년 01월 11일,"16,364","20,227","20,864","16,364",5.56M,-29.96%
2018년 01월 10일,"23,364","25,273","26,046","21,636",3.99M,-5.86%
2018년 01월 09일,"24,818","24,636","28,182","23,818",6.05M,-7.14%
2018년 01월 08일,"26,727","27,091","27,500","25,909",2.96M,-8.94%
2018년 01월 07일,"29,350","29,350","29,350","29,350",-,10.00%
2018년 01월 05일,"26,682","28,273","28,546","25,636",3.38M,-2.81%
2018년 01월 04일,"27,454","26,682","29,773","26,364",6.45M,3.42%
2018년 01월 03일,"26,546","27,682","28,409","24,954",6.32M,1.57%
2018년 01월 02일,"26,136","22,454","27,182","22,091",6.56M,8.90%
2018년 01월 01일,"24,000","24,000","24,000","24,000",-,10.00%
2017년 12월 28일,"21,818","24,318","28,636","19,273",21.95M,-10.28%
2017년 12월 27일,"24,318","20,000","24,318","19,273",10.32M,29.86%
2017년 12월 26일,"18,727","20,682","21,136","18,636",5.13M,-15.64%
2017년 12월 25일,"22,200","22,200","22,200","22,200",-,10.00%
2017년 12월 22일,"20,182","20,273","24,046","19,682",8.82M,-1.33%
2017년 12월 21일,"20,454","24,182","25,091","17,046",11.75M,-15.42%
2017년 12월 20일,"24,182","25,818","29,046","24,182",10.60M,-8.43%
2017년 12월 19일,"26,409","26,454","29,046","23,909",18.52M,18.09%
2017년 12월 18일,"22,364","22,364","22,364","22,364",392.22K,18.02%
2017년 12월 17일,"18,950","18,950","18,950","18,950",-,10.00%
2017년 12월 15일,"17,227","14,227","17,227","13,727",5.90M,29.79%
2017년 12월 14일,"13,273","12,318","14,636","12,182",6.04M,10.61%
2017년 12월 13일,"12,000","10,409","12,136","9,227",7.76M,16.30%
2017년 12월 12일,"10,318","11,500","11,636","9,864",3.23M,-6.59%
2017년 12월 11일,"11,046","11,454","12,409","10,273",4.18M,-24.08%
2017년 12월 10일,"14,550","14,550","14,550","14,550",0.96K,10.00%
2017년 12월 08일,"13,227","14,318","14,364","11,909",3.14M,-1.36%
2017년 12월 07일,"13,409","13,818","14,954","12,773",4.36M,0.68%
2017년 12월 06일,"13,318","12,046","15,273","11,954",8.00M,9.33%
2017년 12월 05일,"12,182","12,273","12,273","11,364",1.72M,2.68%
2017년 12월 04일,"11,864","12,454","12,454","11,682",2.19M,-8.74%
2017년 12월 03일,"13,000","13,000","13,000","13,000",23.37K,10.00%
2017년 12월 01일,"11,818","10,636","12,273","10,591",4.64M,12.55%
2017년 11월 30일,"10,500","9,909","10,818","9,773",1.81M,1.31%
2017년 11월 29일,"10,364","9,727","10,773","9,091",2.99M,0.89%
2017년 11월 28일,"10,273","9,773","10,454","9,273",2.61M,6.61%
2017년 11월 27일,"9,636","9,818","10,182","9,073",2.71M,-4.59%
2017년 11월 26일,"10,100","10,100","10,100","10,100",0.33K,10.00%
2017년 11월 24일,"9,182","7,400","9,409","7,373",5.42M,26.72%
2017년 11월 23일,"7,246","7,373","7,573","7,236",798.87K,0.26%
2017년 11월 22일,"7,227","7,854","8,046","7,218",1.42M,-9.56%
2017년 11월 21일,"7,991","8,318","8,354","7,673",1.01M,-3.51%
2017년 11월 20일,"8,282","8,109","8,473","7,918",617.60K,-8.49%
2017년 11월 19일,"9,050","9,050","9,050","9,050",0.54K,10.00%
2017년 11월 17일,"8,227","8,727","8,782","8,164",657.39K,-4.85%
2017년 11월 16일,"8,646","8,382","8,700","8,273",728.67K,2.49%
2017년 11월 15일,"8,436","9,082","9,273","8,082",2.07M,-6.08%
2017년 11월 14일,"8,982","9,636","9,864","8,836",2.76M,-6.35%
2017년 11월 13일,"9,591","9,000","9,864","8,836",3.31M,2.03%
2017년 11월 12일,"9,400","9,400","9,400","9,400",12.44K,9.99%
2017년 11월 10일,"8,546","8,027","8,546","8,027",871.54K,4.45%
2017년 11월 09일,"8,182","8,109","8,546","7,909",1.24M,0.90%
2017년 11월 08일,"8,109","7,409","8,182","7,400",1.30M,9.32%
2017년 11월 07일,"7,418","7,536","7,618","7,364",310.35K,-1.57%
2017년 11월 06일,"7,536","7,591","7,682","7,464",272.02K,-9.64%
2017년 11월 05일,"8,340","8,340","8,340","8,340",0.65K,10.00%
2017년 11월 03일,"7,582","7,464","7,727","7,454",272.21K,0.24%
2017년 11월 02일,"7,564","7,718","7,718","7,464",234.74K,-0.94%
2017년 11월 01일,"7,636","7,982","7,982","7,582",462.22K,-1.42%
2017년 10월 31일,"7,746","7,764","7,964","7,554",540.88K,0.00%
2017년 10월 30일,"7,746","7,318","8,036","7,118",1.22M,7.58%
2017년 10월 27일,"7,200","7,291","7,336","6,991",413.10K,0.25%
2017년 10월 26일,"7,182","7,136","7,400","7,073",706.02K,1.54%
2017년 10월 25일,"7,073","6,791","7,182","6,764",770.45K,5.00%
2017년 10월 24일,"6,736","6,682","6,827","6,654",223.14K,0.13%
2017년 10월 23일,"6,727","6,791","7,036","6,727",393.84K,-0.55%
2017년 10월 20일,"6,764","6,809","6,891","6,636",265.71K,0.27%
2017년 10월 19일,"6,746","6,900","7,054","6,709",387.70K,-2.36%
2017년 10월 18일,"6,909","6,773","7,082","6,573",480.97K,2.84%
